vencimento;valor;contraparte;doc
05/07/2026;-30,00;FORNEC TARIFA MENSAL 004;AP-00027
05/07/2026;-30,00;FORNEC TARIFA MENSAL 034;AP-00028
06/07/2026;-7660,35;FORNEC ENERGIA ELETRICA 00011;AP-00029
06/07/2026;-8823,36;FORNEC SEGURO FROTA 00031;AP-00030
06/07/2026;-2819,46;FORNEC ENERGIA ELETRICA 00143;AP-00031
06/07/2026;-5427,66;FORNEC SALARIO FOLHA 00190;AP-00032
06/07/2026;-8665,91;FORNEC PIX ENVIADO JOAO 00194;AP-00033
06/07/2026;-30,00;FORNEC TARIFA MENSAL 005;AP-00034
06/07/2026;-30,00;FORNEC TARIFA MENSAL 035;AP-00035
07/07/2026;-3982,65;FORNEC ENERGIA ELETRICA 00008;AP-00036
07/07/2026;-30,00;FORNEC TARIFA MENSAL 006;AP-00037
07/07/2026;-30,00;FORNEC TARIFA MENSAL 036;AP-00038
08/07/2026;-7648,48;FORNEC PIX ENVIADO JOAO 00032;AP-00039
08/07/2026;-3600,08;FORNEC TELEFONIA MOVEL 00081;AP-00040
08/07/2026;-5088,66;FORNEC TELEFONIA MOVEL 00110;AP-00041
08/07/2026;-4593,60;FORNEC SALARIO FOLHA 00131;AP-00042
08/07/2026;-4888,88;FORNEC MATERIAL ESCRITORIO 00135;AP-00043
08/07/2026;-409,70;FORNEC SALARIO FOLHA 00145;AP-00044
08/07/2026;-6000,43;FORNEC ALUGUEL IMOVEL 00191;AP-00045
08/07/2026;-30,00;FORNEC TARIFA MENSAL 007;AP-00046
08/07/2026;-30,00;FORNEC TARIFA MENSAL 037;AP-00047
09/07/2026;-765,58;FORNEC PIX ENVIADO JOAO 00021;AP-00048
09/07/2026;-6261,55;FORNEC SEGURO FROTA 00084;AP-00049
09/07/2026;-2561,97;FORNEC SEGURO FROTA 00164;AP-00050
09/07/2026;-7395,54;FORNEC PAGTO FORNEC ACME 00168;AP-00051
09/07/2026;-1603,57;FORNEC ALUGUEL IMOVEL 00198;AP-00052
09/07/2026;-765,58;FORNEC PIX ENVIADO JOAO 00021;AP-00053
09/07/2026;-30,00;FORNEC TARIFA MENSAL 008;AP-00054
09/07/2026;-30,00;FORNEC TARIFA MENSAL 038;AP-00055
10/07/2026;-78,16;FORNEC SALARIO FOLHA 00002;AP-00056
10/07/2026;-30,00;FORNEC TARIFA MENSAL 009;AP-00057
10/07/2026;-30,00;FORNEC TARIFA MENSAL 039;AP-00058
11/07/2026;-3003,18;FORNEC PIX ENVIADO JOAO 00013;AP-00059
11/07/2026;-6696,37;FORNEC PIX ENVIADO JOAO 00100;AP-00060
11/07/2026;-1148,22;FORNEC SALARIO FOLHA 00113;AP-00061
11/07/2026;-8098,04;FORNEC SALARIO FOLHA 00137;AP-00062
11/07/2026;-3977,69;FORNEC SALARIO FOLHA 00152;AP-00063
11/07/2026;-30,00;FORNEC TARIFA MENSAL 010;AP-00064
11/07/2026;-30,00;FORNEC TARIFA MENSAL 040;AP-00065
12/07/2026;-5440,01;FORNEC MATERIAL ESCRITORIO 00026;AP-00066
12/07/2026;-5590,42;FORNEC PIX ENVIADO JOAO 00040;AP-00067
12/07/2026;-7693,42;FORNEC PAGTO FORNEC ACME 00064;AP-00068
12/07/2026;-6319,73;FORNEC MATERIAL ESCRITORIO 00075;AP-00069
12/07/2026;-586,56;FORNEC ALUGUEL IMOVEL 00088;AP-00070
12/07/2026;-7035,25;FORNEC SALARIO FOLHA 00108;AP-00071
12/07/2026;-3601,25;FORNEC ENERGIA ELETRICA 00123;AP-00072
12/07/2026;-6339,79;FORNEC TELEFONIA MOVEL 00192;AP-00073
12/07/2026;-30,00;FORNEC TARIFA MENSAL 011;AP-00074
12/07/2026;-30,00;FORNEC TARIFA MENSAL 041;AP-00075
13/07/2026;-1953,45;FORNEC MANUTENCAO PREDIAL 00199;AP-00076
13/07/2026;-30,00;FORNEC TARIFA MENSAL 012;AP-00077
13/07/2026;-30,00;FORNEC TARIFA MENSAL 042;AP-00078
14/07/2026;-794,00;FORNEC ENERGIA ELETRICA 00020;AP-00079
14/07/2026;-8920,91;FORNEC PAGTO FORNEC ACME 00048;AP-00080
14/07/2026;-3142,71;FORNEC SERVICOS TI 00181;AP-00081
14/07/2026;3142,71;FORNEC ESTORNO SERVICOS TI 00181;AP-00082
14/07/2026;-30,00;FORNEC TARIFA MENSAL 013;AP-00083
14/07/2026;-30,00;FORNEC TARIFA MENSAL 043;AP-00084
15/07/2026;-4865,53;FORNEC PIX ENVIADO JOAO 00028;AP-00085
15/07/2026;-1387,61;FORNEC ENERGIA ELETRICA 00029;AP-00086
15/07/2026;-8606,35;FORNEC SERVICOS TI 00074;AP-00087
15/07/2026;-7881,15;FORNEC SALARIO FOLHA 00115;AP-00088
15/07/2026;-4685,84;FORNEC SERVICOS TI 00139;AP-00089
15/07/2026;-30,00;FORNEC TARIFA MENSAL 014;AP-00090
15/07/2026;-30,00;FORNEC TARIFA MENSAL 044;AP-00091
16/07/2026;-949,11;FORNEC TELEFONIA MOVEL 00042;AP-00092
16/07/2026;-483,70;FORNEC SERVICOS TI 00044;AP-00093
16/07/2026;-1940,15;FORNEC MANUTENCAO PREDIAL 00065;AP-00094
16/07/2026;-5610,45;FORNEC ALUGUEL IMOVEL 00102;AP-00095
16/07/2026;-2700,58;FORNEC TELEFONIA MOVEL 00124;AP-00096
16/07/2026;-794,60;FORNEC SEGURO FROTA 00133;AP-00097
16/07/2026;-1920,75;FORNEC SERVICOS TI 00160;AP-00098
16/07/2026;-30,00;FORNEC TARIFA MENSAL 015;AP-00099
16/07/2026;-30,00;FORNEC TARIFA MENSAL 045;AP-00100
17/07/2026;-2641,69;FORNEC PAGTO FORNEC ACME 00007;AP-00101
17/07/2026;-5568,72;FORNEC PIX ENVIADO JOAO 00039;AP-00102
17/07/2026;-7553,34;FORNEC TELEFONIA MOVEL 00107;AP-00103
17/07/2026;-4886,69;FORNEC ENERGIA ELETRICA 00129;AP-00104
17/07/2026;-30,00;FORNEC TARIFA MENSAL 016;AP-00105
17/07/2026;-30,00;FORNEC TARIFA MENSAL 046;AP-00106
18/07/2026;-8938,04;FORNEC SEGURO FROTA 00043;AP-00107
18/07/2026;-2310,66;FORNEC MATERIAL ESCRITORIO 00052;AP-00108
18/07/2026;-1141,20;FORNEC ALUGUEL IMOVEL 00080;AP-00109
18/07/2026;-5875,76;FORNEC MANUTENCAO PREDIAL 00087;AP-00110
18/07/2026;-4672,51;FORNEC MANUTENCAO PREDIAL 00122;AP-00111
18/07/2026;-5552,23;FORNEC SALARIO FOLHA 00150;AP-00112
18/07/2026;-4608,78;FORNEC SALARIO FOLHA 00175;AP-00113
18/07/2026;-30,00;FORNEC TARIFA MENSAL 017;AP-00114
18/07/2026;-30,00;FORNEC TARIFA MENSAL 047;AP-00115
19/07/2026;-1289,18;FORNEC SEGURO FROTA 00010;AP-00116
19/07/2026;-2350,68;FORNEC SERVICOS TI 00098;AP-00117
19/07/2026;-2455,64;FORNEC PAGTO FORNEC ACME 00141;AP-00118
19/07/2026;-30,00;FORNEC TARIFA MENSAL 018;AP-00119
19/07/2026;-30,00;FORNEC TARIFA MENSAL 048;AP-00120
20/07/2026;-286,82;FORNEC ALUGUEL IMOVEL 00022;AP-00121
20/07/2026;-6138,99;FORNEC SALARIO FOLHA 00024;AP-00122
20/07/2026;-8856,31;FORNEC PAGTO FORNEC ACME 00053;AP-00123
20/07/2026;-917,21;FORNEC PIX ENVIADO JOAO 00138;AP-00124
20/07/2026;-1089,14;FORNEC PIX ENVIADO JOAO 00162;AP-00125
20/07/2026;-613,58;FORNEC ALUGUEL IMOVEL 00177;AP-00126
20/07/2026;-8438,30;FORNEC SALARIO FOLHA 00180;AP-00127
20/07/2026;-917,21;FORNEC PIX ENVIADO JOAO 00138;AP-00128
20/07/2026;-30,00;FORNEC TARIFA MENSAL 019;AP-00129
20/07/2026;-30,00;FORNEC TARIFA MENSAL 049;AP-00130
21/07/2026;-6078,77;FORNEC ALUGUEL IMOVEL 00036;AP-00131
21/07/2026;-1474,01;FORNEC ENERGIA ELETRICA 00058;AP-00132
